Type,adjusted_time_hours,Price
ask,122.0,310.6423149905123
ask,123.0,300.9506849315068
ask,124.0,294.7667984189723
ask,125.0,298.16823193140056
ask,126.0,291.8670212765957
ask,127.0,287.9522471910112
ask,128.0,283.30932971014494
ask,129.0,281.9935447656469
ask,130.0,276.5173761946134
ask,131.0,287.27738095238095
ask,132.0,285.2939414114514
ask,133.0,284.13751668891854
ask,134.0,285.8821335322641
ask,135.0,285.37735849056605
ask,136.0,289.3501893517487
ask,137.0,294.39943342776206
ask,138.0,302.12483504882556
ask,139.0,301.425681143782
ask,140.0,294.03190546528805
ask,141.0,296.4307655387569
ask,142.0,286.6844564682735
ask,143.0,290.0574302401038
ask,144.0,287.4586624539231
ask,145.0,285.72907348242813
ask,146.0,299.43408459401047
ask,147.0,297.71103117505993
ask,148.0,307.1810207336523
ask,149.0,322.9633027522936
ask,150.0,326.1034482758621
ask,151.0,335.56140350877195
ask,152.0,340.4988290398126
ask,153.0,355.20416666666665
ask,154.0,345.6842105263158
ask,155.0,339.62489694971146
ask,156.0,327.38039215686274
ask,157.0,327.5432497978981
ask,158.0,329.72544080604536
ask,159.0,345.32307692307694
ask,160.0,356.6967213114754
ask,161.0,348.13217623497997
ask,162.0,340.3673469387755
ask,163.0,343.8169014084507
ask,164.0,333.05227882037536
ask,165.0,328.1672012830794
ask,166.0,306.7973484848485
ask,167.0,305.4132762312634
ask,168.0,304.78171091445427
ask,169.0,305.6485623003195
ask,170.0,298.27638190954775
ask,171.0,297.1587301587302
ask,172.0,299.36296296296297
ask,173.0,304.9293598233996
ask,174.0,309.49285714285713
ask,175.0,304.1923436041083
ask,176.0,298.35597826086956
ask,177.0,307.54841549295776
ask,178.0,311.68594594594595
ask,179.0,304.03776978417267
ask,180.0,307.3067061143984
ask,181.0,309.2838317283325
ask,182.0,310.84573337382324
ask,183.0,300.1071805702218
ask,184.0,300.4438144329897
ask,185.0,295.7932489451477
ask,186.0,296.526364764268
ask,187.0,306.9562326869806
ask,188.0,313.12486855941114
ask,189.0,325.2551293487957
ask,190.0,324.07244052392406
ask,191.0,329.3801188903567
ask,192.0,337.2358113509193
ask,193.0,341.6450930626058
ask,194.0,348.5368075801749
ask,195.0,353.83977900552486
ask,196.0,350.5996758508914
ask,197.0,342.69323050556983
ask,198.0,333.6782334384858
ask,199.0,321.15277777777777
ask,200.0,322.4559118236473
ask,201.0,330.5104895104895
ask,202.0,343.27225130890054
ask,203.0,342.18558951965065
ask,204.0,329.37221727515583
ask,205.0,310.18436703483434
ask,206.0,310.0338345864662
ask,207.0,306.5808383233533
ask,208.0,299.4500792393027
ask,209.0,294.048
ask,210.0,288.3108856088561
ask,211.0,282.4909290819131
ask,212.0,269.2904085257549
ask,213.0,282.8627261761158
ask,214.0,286.71131713554985
ask,215.0,296.1458658346334
ask,216.0,295.2179580014482
ask,217.0,295.24739742804655
ask,218.0,298.00913580246913
ask,219.0,304.26974514256875
ask,220.0,301.90956142740396
ask,221.0,293.6362098138748
ask,222.0,309.5861456483126
ask,223.0,316.8621444201313
ask,224.0,311.45512820512823
ask,225.0,320.5230263157895
ask,226.0,317.82941176470587
ask,227.0,310.0324074074074
ask,228.0,301.4459833795014
ask,229.0,301.8299259259259
ask,230.0,305.3806451612903
ask,231.0,306.54152933421227
ask,232.0,308.80219206680584
ask,233.0,317.83534136546183
ask,234.0,318.8054996646546
ask,235.0,328.6001186591516
ask,236.0,325.6167960479887
ask,237.0,321.6933333333333
ask,238.0,314.6796246648794
ask,239.0,321.36120514556535
ask,240.0,324.16521739130434
ask,241.0,319.77707581227435
ask,242.0,323.70319634703196
ask,243.0,322.4555841188232
ask,244.0,323.59799291617475
ask,245.0,332.6445630081301
ask,246.0,331.34971098265896
ask,247.0,318.8787185354691
ask,248.0,322.2605233219568
ask,249.0,307.0322164948454
ask,250.0,292.9072164948454
ask,251.0,288.7142857142857
ask,252.0,295.4474123539232
ask,253.0,289.52920143027416
ask,254.0,290.4551368326604
ask,255.0,281.4862492685781
ask,256.0,287.05876460767945
ask,257.0,290.57435090479936
ask,258.0,292.58668484435356
ask,259.0,282.09200096084555
ask,260.0,277.8545751633987
ask,261.0,284.1565234299047
ask,262.0,287.35433312845726
ask,263.0,288.0470338983051
ask,264.0,276.4397797660014
ask,265.0,285.4057848918843
ask,266.0,283.2957918276072
ask,267.0,282.0380715911442
ask,268.0,280.3000934870676
ask,269.0,290.0780634700023
ask,270.0,291.54215304798964
ask,271.0,291.7730938416422
ask,272.0,294.016531241244
ask,273.0,292.92894152479647
ask,274.0,298.6736149204608
ask,275.0,303.45391705069125
ask,276.0,306.1712574850299
ask,277.0,311.4484101232966
ask,278.0,318.84638554216866
ask,279.0,331.63761801016705
ask,280.0,330.24473420260784
ask,281.0,329.65417201540436
ask,282.0,315.47650635710335
ask,283.0,321.244489657511
ask,284.0,312.33749220212104
ask,285.0,308.24615384615385
ask,286.0,310.09747817652766
ask,287.0,311.5309882747069
ask,288.0,314.61561338289965
ask,289.0,315.6083916083916
ask,290.0,320.70758122743683
ask,291.0,302.29411764705884
ask,292.0,286.19250425894376
ask,293.0,282.9042288557214
ask,294.0,274.86879100281163
ask,295.0,272.9501223990208
ask,296.0,264.16796478157806
ask,297.0,260.37775330396477
ask,298.0,260.94406061956767
ask,299.0,256.7872068230277
ask,300.0,254.61122448979592
ask,301.0,258.513452407868
ask,302.0,256.92705341757613
ask,303.0,272.41788829096305
ask,304.0,270.8290441176471
ask,305.0,276.941102494236
ask,306.0,265.13377926421407
ask,307.0,264.7562715199213
ask,308.0,261.96193327630453
ask,309.0,257.5776793132096
ask,310.0,261.32264063226404
ask,311.0,257.75743026977597
ask,312.0,260.9420533782159
ask,313.0,257.74457572502683
ask,314.0,247.9942981265273
ask,315.0,260.61396859772606
ask,316.0,270.6887248663782
ask,317.0,275.95931353644426
ask,318.0,283.4469006381039
ask,319.0,285.96030953569647
ask,320.0,296.3498164543295
ask,321.0,298.7885380116959
ask,322.0,299.5401301518438
ask,323.0,299.78839667191363
ask,324.0,309.1042133572389
ask,325.0,303.55551134102666
ask,326.0,307.69739952718675
ask,327.0,299.8542199488491
ask,328.0,312.1306098964327
ask,329.0,318.3664570230608
ask,330.0,317.13721461187214
ask,331.0,306.72478540772534
ask,332.0,302.17261904761904
ask,333.0,303.3982011447261
ask,334.0,295.3238731218698
ask,335.0,288.55300520586843
ask,336.0,278.73542720255523
ask,337.0,280.5769230769231
ask,338.0,281.0803701899659
ask,339.0,275.1055172413793
ask,340.0,270.3856566820277
ask,341.0,266.85651793525807
ask,342.0,262.6910377358491
ask,343.0,253.64192761285076
ask,344.0,256.755789956432
ask,345.0,258.54663951120165
ask,346.0,252.89476885644768
ask,347.0,238.4189189189189
ask,348.0,251.31219092668243
ask,349.0,252.95674352173026
ask,350.0,251.83630686886707
ask,351.0,251.86920497139477
ask,352.0,249.89869513641756
ask,353.0,245.29465161923454
ask,354.0,247.54907749077492
ask,355.0,252.71797727779014
ask,356.0,255.4605684547638
ask,357.0,262.8022265880812
ask,358.0,262.035838150289
ask,359.0,278.31779435269044
ask,360.0,273.89047866805413
ask,361.0,279.8564760793466
ask,362.0,277.1650866296175
ask,363.0,277.5896147403685
ask,364.0,278.86008230452677
ask,365.0,280.03027556200146
ask,366.0,262.12139917695475
