Type,adjusted_time_minutes,ASK Price Predicted
ask,9779,96.32691
ask,9780,96.010574
ask,9781,95.80325
ask,9782,95.61513
ask,9783,95.872185
ask,9784,95.710556
ask,9785,96.244606
ask,9786,95.95579
ask,9787,95.76993
ask,9788,95.67532
ask,9789,95.590904
ask,9790,95.52727
ask,9791,96.12464
ask,9792,95.869896
ask,9793,96.350845
ask,9794,96.35664
ask,9795,96.040726
ask,9796,96.16492
ask,9797,96.24492
ask,9798,95.96741
ask,9799,96.43053
ask,9800,96.411064
ask,9801,96.0748
ask,9802,96.50889
ask,9803,96.1481
ask,9804,95.906395
ask,9805,95.75339
ask,9806,96.28856
ask,9807,95.98524
ask,9808,95.78631
ask,9809,95.66772
ask,9810,96.22888
ask,9811,96.5878
ask,9812,96.179596
ask,9813,95.930176
ask,9814,96.42071
ask,9815,96.08598
ask,9816,96.50426
ask,9817,96.78505
ask,9818,96.32365
ask,9819,96.033104
ask,9820,95.84824
ask,9821,96.35761
ask,9822,96.677185
ask,9823,96.15764
ask,9824,96.5616
ask,9825,96.13481
ask,9826,95.90948
ask,9827,95.75663
ask,9828,95.96705
ask,9829,96.09521
ask,9830,95.85536
ask,9831,95.705666
ask,9832,96.2556
ask,9833,95.965614
ask,9834,96.09609
ask,9835,96.19236
ask,9836,95.931656
ask,9837,95.7628
ask,9838,95.97396
ask,9839,95.78314
ask,9840,95.6538
ask,9841,95.57235
ask,9842,95.83649
ask,9843,95.683754
ask,9844,96.2272
ask,9845,96.58855
ask,9846,96.18453
ask,9847,96.25747
ask,9848,96.31334
ask,9849,96.34044
ask,9850,96.03438
ask,9851,96.1567
ask,9852,95.91382
ask,9853,95.74809
ask,9854,96.28275
ask,9855,96.62605
ask,9856,96.527794
ask,9857,96.80286
ask,9858,96.67167
ask,9859,96.26555
ask,9860,96.64739
ask,9861,96.88931
ask,9862,97.038246
ask,9863,97.144745
ask,9864,97.22486
ask,9865,96.639084
ask,9866,96.904205
ask,9867,96.74959
ask,9868,96.18541
ask,9869,96.59087
ask,9870,96.205025
ask,9871,95.81987
ask,9872,95.69466
ask,9873,95.60379
ask,9874,95.53233
ask,9875,95.38125
ask,9876,95.380356
ask,9877,95.699776
ask,9878,95.585686
ask,9879,95.468956
ask,9880,95.38087
ask,9881,96.0303
ask,9882,96.45075
ask,9883,96.72817
ask,9884,96.22506
ask,9885,96.03416
ask,9886,95.85227
ask,9887,95.71685
ask,9888,96.25981
ask,9889,96.28514
ask,9890,96.30334
ask,9891,96.009
ask,9892,95.82133
ask,9893,95.69567
ask,9894,95.60286
ask,9895,95.855
ask,9896,96.33816
ask,9897,96.01148
ask,9898,96.453026
ask,9899,96.7535
ask,9900,96.304146
ask,9901,96.02054
ask,9902,96.48421
ask,9903,96.45082
ask,9904,96.42145
ask,9905,96.09078
ask,9906,95.877235
ask,9907,96.05503
ask,9908,96.48268
ask,9909,96.43384
ask,9910,96.08881
ask,9911,95.87619
ask,9912,96.37976
ask,9913,96.69663
ask,9914,96.8997
ask,9915,96.72488
ask,9916,96.624794
ask,9917,96.24284
ask,9918,95.89727
ask,9919,95.68597
ask,9920,96.24317
ask,9921,95.951645
ask,9922,96.08129
ask,9923,96.50178
ask,9924,96.7757
ask,9925,96.31647
ask,9926,96.02974
ask,9927,96.16852
ask,9928,96.56753
ask,9929,96.13956
ask,9930,95.8993
ask,9931,96.39498
